17/03/21 05:15:11 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/21 05:15:11 INFO client.RMProxy: Connecting to ResourceManager at cluster-1-m/10.138.0.4:8032
17/03/21 05:15:12 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/21 05:15:15 INFO input.FileInputFormat: Total input paths to process : 3035
17/03/21 05:15:16 INFO mapreduce.JobSubmitter: number of splits:3035
17/03/21 05:15:16 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490065343913_0003
17/03/21 05:15:16 INFO impl.YarnClientImpl: Submitted application application_1490065343913_0003
17/03/21 05:15:16 INFO mapreduce.Job: The url to track the job: http://cluster-1-m:8088/proxy/application_1490065343913_0003/
17/03/21 05:15:16 INFO mapreduce.Job: Running job: job_1490065343913_0003
17/03/21 05:15:29 INFO mapreduce.Job: Job job_1490065343913_0003 running in uber mode : false
17/03/21 09:08:40 INFO mapreduce.Job:  map 70% reduce 2%
17/03/21 09:13:57 INFO mapreduce.Job:  map 71% reduce 2%
17/03/21 09:19:15 INFO mapreduce.Job:  map 72% reduce 2%
17/03/21 09:24:17 INFO mapreduce.Job:  map 73% reduce 2%
17/03/21 09:29:21 INFO mapreduce.Job:  map 74% reduce 2%
17/03/21 09:34:42 INFO mapreduce.Job:  map 75% reduce 2%
17/03/21 09:40:23 INFO mapreduce.Job:  map 76% reduce 2%
17/03/21 09:46:16 INFO mapreduce.Job:  map 77% reduce 2%
17/03/21 09:52:36 INFO mapreduce.Job:  map 78% reduce 2%
17/03/21 09:58:17 INFO mapreduce.Job:  map 79% reduce 2%
17/03/21 10:03:45 INFO mapreduce.Job:  map 80% reduce 2%
17/03/21 10:09:34 INFO mapreduce.Job:  map 81% reduce 2%
17/03/21 10:15:12 INFO mapreduce.Job:  map 82% reduce 2%
17/03/21 10:20:53 INFO mapreduce.Job:  map 83% reduce 2%
17/03/21 10:26:48 INFO mapreduce.Job:  map 84% reduce 2%
17/03/21 10:32:25 INFO mapreduce.Job:  map 85% reduce 2%
17/03/21 10:40:22 INFO mapreduce.Job:  map 86% reduce 2%
17/03/21 10:48:48 INFO mapreduce.Job:  map 87% reduce 2%
17/03/21 10:55:59 INFO mapreduce.Job:  map 88% reduce 2%
17/03/21 11:01:35 INFO mapreduce.Job:  map 89% reduce 2%
17/03/21 11:07:24 INFO mapreduce.Job:  map 90% reduce 2%
17/03/21 11:10:15 INFO mapreduce.Job:  map 90% reduce 3%
17/03/21 11:12:39 INFO mapreduce.Job:  map 90% reduce 0%
17/03/21 11:12:49 INFO mapreduce.Job:  map 91% reduce 0%
17/03/21 11:12:58 INFO mapreduce.Job:  map 91% reduce 3%
17/03/21 11:18:58 INFO mapreduce.Job:  map 92% reduce 3%
17/03/21 11:24:53 INFO mapreduce.Job:  map 93% reduce 3%
17/03/21 11:30:40 INFO mapreduce.Job:  map 94% reduce 3%
17/03/21 11:36:48 INFO mapreduce.Job:  map 95% reduce 3%
17/03/21 11:42:51 INFO mapreduce.Job:  map 96% reduce 3%
17/03/21 11:48:49 INFO mapreduce.Job:  map 97% reduce 3%
17/03/21 11:56:23 INFO mapreduce.Job:  map 98% reduce 3%
17/03/21 12:04:20 INFO mapreduce.Job:  map 99% reduce 3%
17/03/21 12:10:17 INFO mapreduce.Job:  map 100% reduce 3%
17/03/21 12:13:13 INFO mapreduce.Job:  map 100% reduce 4%
17/03/21 12:13:16 INFO mapreduce.Job:  map 100% reduce 5%
17/03/21 12:13:22 INFO mapreduce.Job:  map 100% reduce 8%
17/03/21 12:13:25 INFO mapreduce.Job:  map 100% reduce 9%
17/03/21 12:13:28 INFO mapreduce.Job:  map 100% reduce 10%
17/03/21 12:13:34 INFO mapreduce.Job:  map 100% reduce 11%
17/03/21 12:13:40 INFO mapreduce.Job:  map 100% reduce 12%
17/03/21 12:13:43 INFO mapreduce.Job:  map 100% reduce 13%
17/03/21 12:13:46 INFO mapreduce.Job:  map 100% reduce 14%
17/03/21 12:13:55 INFO mapreduce.Job:  map 100% reduce 15%
17/03/21 12:14:03 INFO mapreduce.Job:  map 100% reduce 17%
17/03/21 12:14:06 INFO mapreduce.Job:  map 100% reduce 18%
17/03/21 12:14:10 INFO mapreduce.Job:  map 100% reduce 19%
17/03/21 12:14:13 INFO mapreduce.Job:  map 100% reduce 20%
17/03/21 12:14:18 INFO mapreduce.Job:  map 100% reduce 21%
17/03/21 12:14:21 INFO mapreduce.Job:  map 100% reduce 22%
17/03/21 12:14:30 INFO mapreduce.Job:  map 100% reduce 23%
17/03/21 12:14:38 INFO mapreduce.Job:  map 100% reduce 25%
17/03/21 12:14:39 INFO mapreduce.Job:  map 100% reduce 26%
17/03/21 12:14:46 INFO mapreduce.Job:  map 100% reduce 27%
17/03/21 12:14:49 INFO mapreduce.Job:  map 100% reduce 28%
17/03/21 12:14:52 INFO mapreduce.Job:  map 100% reduce 29%
17/03/21 12:14:58 INFO mapreduce.Job:  map 100% reduce 30%
17/03/21 12:15:01 INFO mapreduce.Job:  map 100% reduce 31%
17/03/21 12:15:08 INFO mapreduce.Job:  map 100% reduce 34%
17/03/21 12:15:11 INFO mapreduce.Job:  map 100% reduce 35%
17/03/21 12:15:14 INFO mapreduce.Job:  map 100% reduce 36%
17/03/21 12:15:16 INFO mapreduce.Job:  map 100% reduce 37%
17/03/21 12:15:20 INFO mapreduce.Job:  map 100% reduce 38%
17/03/21 12:15:25 INFO mapreduce.Job:  map 100% reduce 39%
17/03/21 12:15:28 INFO mapreduce.Job:  map 100% reduce 40%
17/03/21 12:15:31 INFO mapreduce.Job:  map 100% reduce 41%
17/03/21 12:15:35 INFO mapreduce.Job:  map 100% reduce 42%
17/03/21 12:15:50 INFO mapreduce.Job:  map 100% reduce 44%
17/03/21 12:15:51 INFO mapreduce.Job:  map 100% reduce 47%
17/03/21 12:15:54 INFO mapreduce.Job:  map 100% reduce 48%
17/03/21 12:15:57 INFO mapreduce.Job:  map 100% reduce 49%
17/03/21 12:16:00 INFO mapreduce.Job:  map 100% reduce 50%
17/03/21 12:16:03 INFO mapreduce.Job:  map 100% reduce 51%
17/03/21 12:16:05 INFO mapreduce.Job:  map 100% reduce 52%
17/03/21 12:16:09 INFO mapreduce.Job:  map 100% reduce 53%
17/03/21 12:16:12 INFO mapreduce.Job:  map 100% reduce 54%
17/03/21 12:16:18 INFO mapreduce.Job:  map 100% reduce 55%
17/03/21 12:16:23 INFO mapreduce.Job:  map 100% reduce 56%
17/03/21 12:16:27 INFO mapreduce.Job:  map 100% reduce 57%
17/03/21 12:16:32 INFO mapreduce.Job:  map 100% reduce 58%
17/03/21 12:16:42 INFO mapreduce.Job:  map 100% reduce 61%
17/03/21 12:16:45 INFO mapreduce.Job:  map 100% reduce 62%
17/03/21 12:16:48 INFO mapreduce.Job:  map 100% reduce 64%
17/03/21 12:16:57 INFO mapreduce.Job:  map 100% reduce 67%
17/03/21 12:17:00 INFO mapreduce.Job:  map 100% reduce 68%
17/03/21 12:17:03 INFO mapreduce.Job:  map 100% reduce 69%
