URL,size,outgoing links,content-type
https://www.nytimes.com/2017/02/17/us/robert-michel-dies.html,81093,98,text/html; charset=utf-8
https://www.nytimes.com/2017/02/15/arts/music/jidenna-the-chief-review.html,77495,107,text/html; charset=utf-8
https://www.nytimes.com/video/us/politics/100000004937253/trump-press-conference-russia.html?playlistId=100000002797598,268275,100,text/html; charset=utf-8
https://www.nytimes.com/2017/02/16/theater/evening-at-the-talk-house-review.html,85457,106,text/html; charset=utf-8
https://www.nytimes.com/2017/02/14/magazine/will-obamacare-really-go-under-the-knife.html,130007,108,text/html; charset=utf-8
https://www.nytimes.com/2017/02/16/nyregion/my-nanny-circle-training-group-caregivers.html,83095,112,text/html; charset=utf-8
https://www.nytimes.com/2017/02/14/insider/texas-name-june-postcard.html,76957,95,text/html; charset=utf-8
https://www.nytimes.com/2017/02/18/world/middleeast/trump-dubai-vancouver.html,98080,118,text/html; charset=utf-8
https://www.nytimes.com/video/opinion/100000004882589/ten-meter-tower.html,173365,71,text/html; charset=utf-8
https://www.nytimes.com/video/t-magazine/fashion/100000004941724/new-york-fashion-week-in-60-seconds-fall-winter-2017.html?playlistId=100000003480810,178945,71,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/nyregion/jeremiah-rivera-brooklyn-pit-bull-attack.html,71082,96,text/html; charset=utf-8
https://www.nytimes.com/2017/02/18/style/melania-trump-first-lady-white-house-washington-louisa-adams-pat-nixon-bess-truman-jackie-kennedy.html,90052,128,text/html; charset=utf-8
https://www.nytimes.com/2017/02/18/obituaries/norma-mccorvey-dead-roe-v-wade.html,91641,103,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/realestate/home-politics-resistance.html,121240,129,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/realestate/calling-the-chelsea-hotel-home.html,106612,113,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/t-magazine/fashion/new-york-fashion-week-top-10-moments.html,82080,100,text/html; charset=utf-8
https://www.nytimes.com/video/us/100000004859799/the-rise-of-body-cameras.html,248028,83,text/html; charset=utf-8
https://www.nytimes.com/video/us/politics/100000004937194/trump-labor-secretary.html,185170,71,text/html; charset=utf-8
https://www.nytimes.com/video/opinion/100000004798478/alone.html,132790,65,text/html; charset=utf-8
https://www.nytimes.com/video/us/politics/100000004941584/tom-reeds-town-hall-meeting.html,166021,81,text/html; charset=utf-8
https://www.nytimes.com/2017/02/16/automobiles/headlights-get-new-attention-as-more-than-a-car-design-flourish.html,80550,102,text/html; charset=utf-8
https://www.nytimes.com/2017/02/18/us/mar-a-lago-trump-ethics-winter-white-house.html,108328,128,text/html; charset=utf-8
https://www.nytimes.com/section/realestate,181502,168,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/upshot/why-trumps-2-for-1-rule-on-regulations-is-no-quick-fix.html,92733,122,text/html; charset=utf-8
https://www.nytimes.com/2017/02/16/sports/bighorn-sheep-hunting.html,135541,127,text/html; charset=utf-8
https://www.nytimes.com/2017/02/16/arts/television/14-tv-shows-that-broke-ground-with-gay-and-transgender-characters.html,88994,129,text/html; charset=utf-8
https://www.nytimes.com/2017/01/19/automobiles/autoreviews/the-bmw-x4-m40i-is-fast-if-not-practical.html?rref=collection%2Fcolumn%2FDriven,74290,101,text/html; charset=utf-8
https://www.nytimes.com/2017/01/26/automobiles/autoreviews/honda-crv-review.html?rref=collection%2Fcolumn%2FDriven,77667,106,text/html; charset=utf-8
https://www.nytimes.com/video/opinion,256877,71,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/movies/roman-polanski-asks-us-court-to-unseal-testimony.html,65687,94,text/html; charset=utf-8
https://www.nytimes.com/2017/02/16/arts/design/an-export-from-sweden-art-treasures-collected-abroad.html,74667,101,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/technology/snapchat-ipo-video.html,85477,106,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/world/asia/north-korea-nuclear-threat.html,62997,101,text/html; charset=utf-8
https://www.nytimes.com/video/world/middleeast/100000004941971/trump-golf-course-opens-in-dubai.html?playlistId=1194811622215,161294,78,text/html; charset=utf-8
https://www.nytimes.com/2017/01/12/automobiles/autoreviews/the-volvo-s90-is-very-swedish-and-very-appealing.html?rref=collection%2Fcolumn%2FDriven,85240,109,text/html; charset=utf-8
https://www.nytimes.com/2017/02/09/automobiles/autoreviews/video-review-porsche-panamera-now-has-looks-to-match-its-speed-and-luxury.html?rref=collection%2Fcolumn%2FDriven,77044,101,text/html; charset=utf-8
https://www.nytimes.com/content/help/rights/sale/terms-of-sale.html,23158,34,text/html
https://www.nytimes.com/2017/02/18/opinion/sunday/the-power-of-movies-to-change-our-hearts.html?hp&target=comments,74343,99,text/html; charset=utf-8
https://www.nytimes.com/2017/02/16/arts/dance/martha-graham-dance-company-primitive-mysteries-joyce-theater.html,76720,98,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/world/africa/democratic-republic-congo-massacre-video-.html,88049,111,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/books/17-great-books-about-american-presidents-for-presidents-day-weekend.html,92102,119,text/html; charset=utf-8
https://www.nytimes.com/pages/dining/index.html,201613,273,text/html
https://www.nytimes.com/2017/02/17/upshot/trump-is-down-to-38-approval-how-much-does-it-mean.html,105236,119,text/html; charset=utf-8
https://www.nytimes.com/2017/02/18/opinion/sunday/our-putin.html,77913,106,text/html; charset=utf-8
https://www.nytimes.com/video/world/europe/100000004941841/geert-wilders-targets-moroccans.html?playlistId=1194811622213,146539,76,text/html; charset=utf-8
https://www.nytimes.com/column/wheels,110551,122,text/html; charset=utf-8
https://www.nytimes.com/2017/02/02/automobiles/autoreviews/video-review-nissan-sentra-nismo-offers-affordable-spunk-but-underwhelms.html?rref=collection%2Fcolumn%2FDriven,74593,101,text/html; charset=utf-8
https://www.nytimes.com/2017/02/18/technology/farhads-and-mikes-week-in-tech-a-letter-from-zuckerberg-and-the-fall-of-pewdiepie.html,90885,117,text/html; charset=utf-8
https://www.nytimes.com/2017/02/18/us/politics/trump-candidates-top-posts.html?hp&target=comments,91739,111,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/arts/design/friends-no-more-jorge-perez-and-donald-trump.html,82451,107,text/html; charset=utf-8
